road_num,Month,Day of month,Hour,Day of week,temperature,rain,atmosphere,speed_diff,time_diff,Traffic_Label
1,2,15,7,3,12,0,0,0,0,0
1,2,15,8,3,11,0,0,0,0,0
1,2,15,9,3,12,0,0,0,0,0
1,2,15,10,3,13,0,0,0,0,0
1,2,15,11,3,15,0,1,0,0,0
1,2,15,12,3,16,0,1,0,0,1
1,2,15,13,3,18,0,1,0,0,1
1,2,15,14,3,17,0,1,0,0,0
1,2,15,15,3,18,0,1,0,0,1
1,2,15,16,3,17,0,1,0,0,1
1,2,15,17,3,17,0,1,0,0,1
1,2,15,18,3,15,0,1,0,0,1
1,2,15,22,3,10,0,1,0,0,0
1,2,15,23,3,9,0,1,5,9,0
1,2,16,0,4,9,0,1,3,5,0
1,2,16,1,4,9,0,1,0,0,0
1,2,16,2,4,8,0,1,1,2,0
1,2,16,4,4,9,0,1,1,2,0
1,2,16,5,4,6,0,1,7,15,0
1,2,16,6,4,7,0,1,4,7,0
1,2,16,7,4,10,0,1,3,5,0
1,2,16,8,4,12,0,1,3,5,0
1,2,16,9,4,12,0,1,4,7,0
1,2,16,10,4,13,0,1,3,5,0
1,2,16,11,4,17,0,1,1,2,0
1,2,16,12,4,19,0,1,0,0,0
1,2,16,13,4,16,0,1,3,6,1
1,2,16,14,4,17,0,1,3,6,0
1,2,16,15,4,18,0,1,4,9,0
1,2,16,16,4,17,0,1,3,5,0
1,2,16,17,4,17,0,1,0,0,0
1,2,16,18,4,15,0,1,4,8,0
1,2,16,19,4,13,0,1,1,2,0
1,2,16,20,4,11,0,1,0,0,0
1,2,16,21,4,10,0,1,0,0,0
1,2,16,22,4,9,0,1,3,5,0
1,2,17,1,5,10,0,1,3,6,0
1,2,17,4,5,9,0,1,5,9,0
1,2,17,5,5,10,0,1,6,14,0
1,2,18,20,6,10,0,1,3,6,0
1,2,18,21,6,9,0,1,0,0,0
1,2,18,22,6,8,0,1,0,0,0
1,2,18,23,6,7,0,1,0,0,0
1,2,19,8,0,3,0,1,0,0,0
1,2,19,9,0,4,0,1,2,4,0
1,2,19,10,0,7,0,1,0,0,1
1,2,19,11,0,10,0,1,3,5,0
1,2,19,12,0,12,0,1,1,2,0
1,2,19,13,0,13,0,1,0,0,0
1,2,19,15,0,12,0,1,0,0,0
1,2,19,16,0,12,0,1,0,0,0
1,2,19,17,0,11,0,1,3,5,1
1,2,19,18,0,11,0,1,5,10,1
1,2,19,19,0,9,0,1,7,16,1
1,2,19,20,0,7,0,1,7,14,1
1,2,19,23,0,6,0,1,0,0,0
1,2,20,4,1,5,0,1,0,0,0
1,2,20,5,1,6,0,1,0,0,0
1,2,20,6,1,6,0,1,0,0,0
1,2,20,7,1,5,0,1,0,0,0
1,2,20,8,1,6,0,1,0,0,0
1,2,20,9,1,6,0,1,0,0,1
1,2,20,10,1,7,0,1,0,0,1
1,2,20,11,1,9,0,1,0,0,1
1,2,20,12,1,11,0,1,0,0,1
1,2,20,14,1,14,0,1,44232,44291,0
1,2,20,15,1,14,0,1,4,8,1
1,2,20,16,1,14,0,1,1,2,1
1,2,20,17,1,14,0,1,3,5,1
1,2,20,18,1,14,0,1,2,3,1
1,2,20,19,1,11,0,1,0,0,1
1,2,20,20,1,10,0,1,1,2,0
1,2,20,21,1,10,0,1,1,2,0
1,2,20,22,1,10,0,1,3,5,0
1,2,20,23,1,9,0,1,3,6,0
1,2,21,2,2,9,0,1,4,7,0
1,2,21,3,2,10,0,1,2,3,0
1,2,21,4,2,10,0,1,0,0,0
1,2,21,5,2,10,0,1,0,0,0
1,2,21,6,2,10,0,1,0,0,0
1,2,21,7,2,11,0,1,0,0,0
1,2,21,8,2,10,0,1,0,0,0
1,2,21,9,2,12,0,1,0,0,0
1,2,21,10,2,13,0,1,0,0,0
1,2,21,11,2,15,0,1,0,0,0
1,2,21,12,2,17,0,1,0,0,0
1,2,21,13,2,16,0,1,0,0,0
1,2,21,15,2,17,0,1,0,0,0
1,2,21,16,2,17,0,1,0,0,0
1,2,21,17,2,15,0,1,4,8,1
1,2,21,18,2,14,0,1,4,8,1
1,2,21,19,2,13,0,1,0,0,1
1,2,21,20,2,12,0,1,0,0,0
1,2,21,21,2,13,0,1,0,0,0
1,2,21,22,2,13,0,1,0,0,0
1,2,21,23,2,13,0,1,0,0,0
1,2,22,0,3,12,0,1,0,0,0
1,2,22,2,3,11,0,1,3,6,0
1,2,22,3,3,11,0,1,8,21,0
1,2,22,4,3,11,0,1,9,25,0
1,2,22,5,3,11,0,1,4,9,0
1,2,22,6,3,12,0,1,0,0,0
1,2,22,7,3,11,0,1,0,0,0
1,2,22,8,3,11,0,1,0,0,0
1,2,22,9,3,12,0,1,0,0,1
1,2,22,10,3,14,0,1,0,0,1
1,2,22,11,3,17,0,1,0,0,1
1,2,22,12,3,18,0,1,0,0,1
1,2,22,13,3,20,0,1,0,0,1
1,2,22,14,3,21,0,1,0,0,1
1,2,22,16,3,22,0,1,0,0,0
1,2,22,17,3,22,4,1,0,0,1
1,2,22,18,3,20,0,1,1,2,1
1,2,22,19,3,16,0,1,0,0,1
1,2,22,20,3,15,0,1,0,0,0
1,2,22,21,3,15,0,1,1,2,0
1,2,22,22,3,16,0,1,7,17,0
1,2,22,23,3,16,0,1,2,3,0
1,2,23,0,4,14,0,1,1,2,0
1,2,23,1,4,12,0,1,3,6,0
1,2,23,2,4,13,0,1,3,6,0
1,2,23,3,4,12,0,1,2,3,0
1,2,23,4,4,12,0,1,6,12,0
1,2,23,5,4,12,0,1,0,0,0
1,2,23,6,4,12,0,1,0,0,0
1,2,23,7,4,11,0,1,0,0,0
1,2,23,8,4,11,0,1,0,0,0
1,2,23,9,4,12,0,1,0,0,0
1,2,23,10,4,13,0,1,0,0,0
1,2,23,11,4,15,0,1,0,0,0
1,2,23,12,4,17,0,1,0,0,0
1,2,23,13,4,19,0,1,0,0,0
1,2,23,14,4,20,0,1,0,0,0
1,2,23,15,4,20,0,1,0,0,0
1,2,23,16,4,22,0,1,0,0,0
1,2,23,17,4,19,0,1,0,0,0
1,2,23,18,4,18,0,1,0,0,0
1,2,23,19,4,15,0,1,2,3,0
1,2,23,20,4,13,0,1,0,0,0
1,2,23,21,4,12,0,1,0,0,0
1,2,23,22,4,11,0,1,0,0,0
1,2,23,23,4,10,0,1,0,0,0
1,2,24,0,5,13,0,1,0,0,0
1,2,24,1,5,12,0,1,0,0,0
1,2,24,2,5,12,0,1,0,0,0
1,2,24,3,5,10,0,1,0,0,0
1,2,24,4,5,11,0,1,0,0,0
1,2,24,5,5,12,0,1,0,0,0
1,2,24,6,5,13,0,1,0,0,0
1,2,24,7,5,14,0,1,0,0,0
1,2,24,8,5,14,0,1,0,0,0
1,2,24,9,5,14,0,1,0,0,0
1,2,24,10,5,17,0,1,0,0,0
1,2,24,11,5,19,0,1,0,0,0
1,2,24,12,5,21,0,1,0,0,0
1,2,24,13,5,22,0,1,0,0,0
1,2,24,14,5,23,0,1,4,7,0
1,2,24,15,5,21,0,1,1,2,0
1,2,24,16,5,20,0,1,0,0,0
1,2,24,17,5,19,0,1,0,0,0
1,2,24,18,5,19,0,1,0,0,0
1,2,24,19,5,16,0,1,1,2,0
1,2,24,20,5,14,0,1,3,6,0
1,2,24,21,5,13,0,1,6,14,0
1,2,24,22,5,12,0,1,4,9,0
1,2,24,23,5,13,0,1,3,6,0
1,2,25,0,6,11,0,1,0,0,0
1,2,25,1,6,12,0,1,0,0,0
1,2,25,2,6,13,0,1,0,0,0
1,2,25,3,6,13,0,1,0,0,0
1,2,25,4,6,13,0,1,0,0,0
1,2,25,5,6,13,0,1,0,0,0
1,2,25,6,6,13,0,1,2,3,0
1,2,25,7,6,13,0,1,3,6,0
1,2,25,8,6,13,0,1,4,7,0
1,2,25,9,6,14,0,1,44291,8,1
1,2,25,10,6,16,0,1,0,0,1
1,2,25,11,6,19,0,1,3,5,1
1,2,25,12,6,20,0,1,2,3,1
1,2,25,13,6,22,0,1,5,9,0
1,2,25,14,6,23,0,1,4,7,0
1,2,25,15,6,20,0,1,5,9,0
1,2,25,16,6,21,0,1,0,0,1
1,2,25,17,6,20,0,1,0,0,1
1,2,25,18,6,17,0,1,0,0,1
1,2,25,19,6,16,0,1,0,0,1
1,2,25,20,6,15,0,1,0,0,0
1,2,25,21,6,14,0,1,0,0,0
1,2,25,22,6,12,0,1,0,0,0
1,2,25,23,6,12,0,1,0,0,0
1,2,26,0,0,12,0,1,0,0,0
1,2,26,1,0,11,0,1,0,0,0
1,2,26,2,0,10,0,1,0,0,0
1,2,26,3,0,10,0,1,0,0,0
1,2,26,4,0,10,0,1,1,2,0
1,2,26,5,0,10,0,1,0,0,0
1,2,26,6,0,9,0,1,0,0,0
1,2,26,7,0,8,0,1,0,0,0
1,2,26,8,0,10,0,1,0,0,0
1,2,26,9,0,13,0,1,1,2,0
1,2,26,10,0,14,0,1,4,7,0
1,2,26,11,0,18,0,1,6,12,1
1,2,26,12,0,20,0,1,6,12,0
1,2,26,13,0,21,0,1,0,0,0
1,2,26,14,0,22,0,1,0,0,0
1,2,26,15,0,22,0,1,0,0,0
1,2,26,16,0,22,0,1,0,0,1
1,2,26,17,0,21,5,1,0,0,1
1,2,26,18,0,19,5,1,0,0,1
1,2,26,19,0,17,0,1,0,0,1
1,2,26,20,0,16,0,1,0,0,1
1,2,26,21,0,15,0,1,0,0,0
1,2,26,22,0,15,0,1,0,0,0
1,2,26,23,0,13,0,1,0,0,0
1,2,27,0,1,13,0,1,0,0,0
1,2,27,1,1,13,0,1,2,3,0
1,2,27,2,1,12,0,1,2,3,0
1,2,27,3,1,12,0,1,3,6,0
1,2,27,4,1,13,0,1,4,12,0
1,2,27,5,1,13,0,1,3,5,0
1,2,27,6,1,11,0,1,4,8,0
1,2,27,21,1,10,0,1,1,2,0
1,2,28,11,2,12,0,1,3,6,1
1,2,28,12,2,14,0,1,5,11,0
1,2,28,13,2,14,0,1,4,9,0
1,2,28,14,2,15,0,1,0,0,0
1,2,2,23,4,5,0,1,0,0,0
1,2,3,4,5,2,0,1,0,0,0
1,2,3,5,5,2,0,1,0,0,0
1,2,3,6,5,2,0,1,0,0,0
1,2,3,7,5,1,0,1,0,0,0
1,2,3,9,5,2,0,1,0,0,0
1,2,3,10,5,5,0,1,0,0,0
1,2,3,19,5,8,0,1,0,0,0
